,out_threshold,resampling,scaling,acc_train,acc_test,matt_train,matt_test
0,0,undersampling,standarize,0.9607072691552063,0.8690330477356181,0.9214153286387259,0.7370033063303301
1,0,undersampling,normalize,0.954158480681074,0.8678090575275398,0.9083668274252394,0.7345943397489387
2,0,undersampling,none,0.8477406679764243,0.806609547123623,0.6958695589727196,0.6112068612140084
3,0,oversampling,standarize,0.963463751438435,0.8788249694002448,0.9269276563090078,0.7565298464061597
4,0,oversampling,normalize,0.9577100115074798,0.8776009791921665,0.9154274479427004,0.7540470052687129
5,0,oversampling,none,0.8437859608745685,0.817625458996328,0.6883956925298186,0.6332733095499671
6,0,none,standarize,0.9626339969372129,0.8763769889840881,0.9249419097892861,0.7515431420376741
7,0,none,normalize,0.9540581929555896,0.8739290085679314,0.9077519150726172,0.7466214702196401
8,0,none,none,0.8416539050535988,0.8004895960832313,0.682112923951215,0.5990615515453869
9,2,undersampling,standarize,0.9605911330049262,0.8727050183598531,0.9211822660098522,0.7448035619641696
10,2,undersampling,normalize,0.952146375791696,0.8604651162790697,0.9042936472606242,0.7197508575555155
11,2,undersampling,none,0.8434201266713582,0.802937576499388,0.6872489652225895,0.6036638705451868
12,2,oversampling,standarize,0.960179833012203,0.8763769889840881,0.9203664997525004,0.7518482523962858
13,2,oversampling,normalize,0.9547206165703276,0.8714810281517748,0.9094459224705627,0.7416973881925291
14,2,oversampling,none,0.8538856775850996,0.8127294981640147,0.7081817625077006,0.6234002740332024
15,2,none,standarize,0.9600402955003358,0.8763769889840881,0.9199113105691332,0.7516717625725284
16,2,none,normalize,0.9536601746138348,0.8641370869033048,0.9071219920501842,0.7269287574248116
17,2,none,none,0.8438549361987912,0.8115055079559363,0.6873690114306731,0.6211222001473924
18,4,undersampling,standarize,0.9583648750946253,0.8690330477356181,0.9167339528919,0.7368532907785357
19,4,undersampling,normalize,0.9538228614685844,0.8763769889840881,0.9076717304846833,0.751567821643515
20,4,undersampling,none,0.8501135503406511,0.802937576499388,0.700903008911554,0.6039393961193279
21,4,oversampling,standarize,0.9609211444521982,0.8616891064871481,0.9218431867359753,0.722005880502239
22,4,oversampling,normalize,0.9574319609211445,0.8702570379436965,0.9148648128772624,0.7392869208539221
23,4,oversampling,none,0.8468248429867411,0.8017135862913096,0.6945026584362811,0.6012178505036646
24,4,none,standarize,0.9586056644880174,0.8714810281517748,0.917074178298599,0.7416973881925291
25,4,none,normalize,0.9546114742193174,0.8665850673194615,0.9090720870047192,0.7318611950866667
26,4,none,none,0.8518518518518519,0.806609547123623,0.7037503254672013,0.6110854943833373
27,6,undersampling,standarize,0.9570727718724448,0.8641370869033048,0.9141605177917386,0.727084509098462
28,6,undersampling,normalize,0.9521668029435814,0.8702570379436965,0.9043363266471344,0.7394174640428477
29,6,undersampling,none,0.8552739165985282,0.8151774785801713,0.7114626452412808,0.6283710741220763
30,6,oversampling,standarize,0.9587396849212303,0.8641370869033048,0.9174958931778843,0.7270150129647237
31,6,oversampling,normalize,0.9557389347336834,0.8665850673194615,0.9114788953946007,0.7318516343473841
32,6,oversampling,none,0.8522130532633159,0.8102815177478581,0.7053444636735551,0.6184684626624037
33,6,none,standarize,0.9573552425665102,0.8678090575275398,0.9145553912380099,0.7344249868286491
34,6,none,normalize,0.9514866979655712,0.8714810281517748,0.9027846797978332,0.7416943703822416
35,6,none,none,0.8525039123630673,0.8078335373317014,0.7048487179625008,0.613569618142044
36,8,undersampling,standarize,0.9529724933451642,0.8555691554467564,0.9059678121948266,0.7097667520243406
37,8,undersampling,normalize,0.9440993788819876,0.8641370869033048,0.888249111506638,0.7270150129647237
38,8,undersampling,none,0.8473824312333629,0.8004895960832313,0.6957515665602765,0.5987412171792088
39,8,oversampling,standarize,0.9568829113924051,0.8616891064871481,0.9138141544687601,0.7219859710326476
40,8,oversampling,normalize,0.9485759493670886,0.8690330477356181,0.8971923315220686,0.7367745112699566
41,8,oversampling,none,0.8481012658227848,0.8053855569155447,0.6973987020114613,0.6086626747724823
42,8,none,standarize,0.9548306148055207,0.8555691554467564,0.909386214835473,0.7096714052085011
43,8,none,normalize,0.9481388540359682,0.8604651162790697,0.8959273106408178,0.7197301690625671
44,8,none,none,0.849017147636972,0.799265605875153,0.6976445942204164,0.5967476249965679
45,10,undersampling,standarize,0.9504170528266914,0.8543451652386781,0.9009211654017124,0.7072372497345215
46,10,undersampling,normalize,0.9467099165894347,0.8506731946144431,0.8934662635257629,0.6998173666021377
47,10,undersampling,none,0.8517145505097312,0.8004895960832313,0.7050004250060476,0.5988922144308874
48,10,oversampling,standarize,0.9546225614927905,0.8580171358629131,0.9092846994596071,0.7145953619629765
49,10,oversampling,normalize,0.9478371501272265,0.8506731946144431,0.8957287528787364,0.6999765918481616
50,10,oversampling,none,0.8494486853265479,0.8053855569155447,0.7007208073647311,0.6092169603058576
51,10,none,standarize,0.9534986713906112,0.8678090575275398,0.906857695471085,0.73439285325188
52,10,none,normalize,0.9481842338352524,0.8604651162790697,0.8961802294184598,0.7199379099344653
53,10,none,none,0.8489813994685562,0.784577723378213,0.6989111167989981,0.567833782401764
