,out_threshold,resampling,scaling,acc_train,acc_test,matt_train,matt_test
0,0,undersampling,standarize,0.9507772020725389,0.7482014388489209,0.9030222902153231,0.49374823011932045
1,0,undersampling,normalize,0.9352331606217616,0.7410071942446043,0.8731072874223667,0.4826478102407166
2,0,undersampling,none,0.8549222797927462,0.6115107913669064,0.7290431939910874,0.26611673873127234
3,0,oversampling,standarize,0.9600550964187328,0.8201438848920863,0.9213731751812096,0.6086828011272659
4,0,oversampling,normalize,0.9600550964187328,0.8201438848920863,0.9216537651244262,0.6086828011272659
5,0,oversampling,none,0.8705234159779615,0.7050359712230215,0.7569420641188166,0.41102387131014256
6,0,none,standarize,0.9694244604316546,0.8057553956834532,0.9331307911768993,0.5646226263223014
7,0,none,normalize,0.960431654676259,0.841726618705036,0.9135882879413173,0.6424176489731721
8,0,none,none,0.89568345323741,0.7122302158273381,0.7675866725940172,0.32167120614464667
9,2,undersampling,standarize,0.9440993788819876,0.762589928057554,0.8892972917998876,0.5163603955422533
10,2,undersampling,normalize,0.9409937888198758,0.7122302158273381,0.8833688681833551,0.4394365904159526
11,2,undersampling,none,0.8509316770186336,0.6834532374100719,0.7161515460515866,0.3788997360375409
12,2,oversampling,standarize,0.9540636042402827,0.7697841726618705,0.9104035338716917,0.5140012563417249
13,2,oversampling,normalize,0.9434628975265018,0.7913669064748201,0.8906927557700621,0.5634725065803986
14,2,oversampling,none,0.8480565371024735,0.7338129496402878,0.7054952664474072,0.47167389053743536
15,2,none,standarize,0.9594594594594594,0.7697841726618705,0.9145135637282557,0.4960522943707276
16,2,none,normalize,0.9504504504504504,0.7697841726618705,0.8952592771599674,0.501651655816096
17,2,none,none,0.9144144144144144,0.7194244604316546,0.8135697380091758,0.35470512082404404
18,4,undersampling,standarize,0.9528985507246377,0.762589928057554,0.9063922297650467,0.48901960552042434
19,4,undersampling,normalize,0.9456521739130435,0.7194244604316546,0.8924532234175739,0.41712638387890866
20,4,undersampling,none,0.8768115942028986,0.697841726618705,0.760116950066092,0.4002192411633389
21,4,oversampling,standarize,0.9612068965517241,0.7553956834532374,0.9240978780371347,0.4590201465201465
22,4,oversampling,normalize,0.9568965517241379,0.762589928057554,0.9165559264742879,0.477562996704642
23,4,oversampling,none,0.8922413793103449,0.7338129496402878,0.7902593270070076,0.44773914383623087
24,4,none,standarize,0.9513513513513514,0.762589928057554,0.8974277830813847,0.477562996704642
25,4,none,normalize,0.9297297297297298,0.762589928057554,0.8508643350457332,0.477562996704642
26,4,none,none,0.8891891891891892,0.6906474820143885,0.7626858686995589,0.3059244967506495
27,6,undersampling,standarize,0.9516129032258065,0.7769784172661871,0.9036961141150639,0.5327094749956872
28,6,undersampling,normalize,0.9435483870967742,0.7410071942446043,0.8875586835058663,0.4667926689050472
29,6,undersampling,none,0.875,0.6834532374100719,0.7541559739104435,0.3612214833204277
30,6,oversampling,standarize,0.9492753623188406,0.762589928057554,0.8985612099051619,0.477562996704642
31,6,oversampling,normalize,0.9347826086956522,0.7482014388489209,0.8698189998335926,0.44589254988119487
32,6,oversampling,none,0.893719806763285,0.6906474820143885,0.7927861777250477,0.36390904681588715
33,6,none,standarize,0.9516616314199395,0.7338129496402878,0.8972431671816132,0.4142221030577477
34,6,none,normalize,0.9244712990936556,0.7410071942446043,0.8405296331399034,0.41657245197340415
35,6,none,none,0.9003021148036254,0.697841726618705,0.7875209669126112,0.3013848099008188
36,8,undersampling,standarize,0.9174757281553398,0.7338129496402878,0.8349908101841637,0.42671554945503576
37,8,undersampling,normalize,0.9029126213592233,0.697841726618705,0.8059771992053185,0.35241902168615374
38,8,undersampling,none,0.8640776699029126,0.6474820143884892,0.728292649884324,0.2724382375800674
39,8,oversampling,standarize,0.9502487562189055,0.6834532374100719,0.9006758773433583,0.28645206809856555
40,8,oversampling,normalize,0.9328358208955224,0.7122302158273381,0.8665407417674355,0.35151226003598485
41,8,oversampling,none,0.8855721393034826,0.6618705035971223,0.7725222458057753,0.26334847722240895
42,8,none,standarize,0.9539473684210527,0.6762589928057554,0.8968217077492578,0.24728139954281897
43,8,none,normalize,0.9111842105263158,0.7122302158273381,0.8013192695064439,0.3259140806948943
44,8,none,none,0.8717105263157895,0.7050359712230215,0.710225069485853,0.3015055200834534
45,10,undersampling,standarize,0.9510869565217391,0.6330935251798561,0.9026539488584262,0.25939882324191055
46,10,undersampling,normalize,0.9184782608695652,0.6258992805755396,0.8374018561698653,0.2055117285718641
47,10,undersampling,none,0.8804347826086957,0.6474820143884892,0.7637626158259733,0.2558421907332839
48,10,oversampling,standarize,0.9619883040935673,0.7050359712230215,0.9241188350190687,0.32654257741220605
49,10,oversampling,normalize,0.935672514619883,0.6474820143884892,0.8728387988154597,0.23980338125886988
50,10,oversampling,none,0.8567251461988304,0.6834532374100719,0.7137554752313863,0.3140384356588655
51,10,none,standarize,0.9429657794676806,0.6762589928057554,0.8739460274212166,0.24728139954281897
52,10,none,normalize,0.9011406844106464,0.6834532374100719,0.7838665944305839,0.2613993854583217
53,10,none,none,0.8783269961977186,0.7338129496402878,0.7289663348365597,0.374201560485188
