,out_threshold,resampling,scaling,acc_train,acc_test,matt_train,matt_test
0,0,undersampling,standarize,0.9496466431095406,0.8525641025641025,0.8993283778797672,0.7028050628879666
1,0,undersampling,normalize,0.941696113074205,0.8269230769230769,0.8834142872383953,0.6511044605605759
2,0,undersampling,none,0.8206713780918727,0.782051282051282,0.6413517652337214,0.562960869364813
3,0,oversampling,standarize,0.9574155653450808,0.8269230769230769,0.9148469121776603,0.649979673462346
4,0,oversampling,normalize,0.9405286343612335,0.8301282051282052,0.8810658179868874,0.6564107403070135
5,0,oversampling,none,0.8281938325991189,0.75,0.6563989883521897,0.4994879663601347
6,0,none,standarize,0.9486768243785084,0.8397435897435898,0.8967821257498478,0.675797366956899
7,0,none,normalize,0.9342421812349639,0.842948717948718,0.8673020170486961,0.6822858688075785
8,0,none,none,0.8067361668003208,0.7596153846153846,0.6091394042871516,0.5165177459904187
9,2,undersampling,standarize,0.947129909365559,0.8301282051282052,0.8947540418023477,0.6584918693477081
10,2,undersampling,normalize,0.93202416918429,0.8012820512820513,0.8640838296208527,0.6036229966041224
11,2,undersampling,none,0.8111782477341389,0.7115384615384616,0.6233843586488664,0.43635684957073534
12,2,oversampling,standarize,0.954728370221328,0.7980769230769231,0.9095469598506892,0.5914248233343417
13,2,oversampling,normalize,0.9275653923541247,0.8108974358974359,0.8554702570458409,0.6176685347751604
14,2,oversampling,none,0.8329979879275654,0.75,0.6660822723607199,0.5056835501651475
15,2,none,standarize,0.9420289855072463,0.8173076923076923,0.8789440971619928,0.6304694787510802
16,2,none,normalize,0.9371980676328503,0.8237179487179487,0.8687834429518119,0.6435622954024605
17,2,none,none,0.8466183574879227,0.7628205128205128,0.6780877045181801,0.5206616168034658
18,4,undersampling,standarize,0.9462151394422311,0.7435897435897436,0.8924373616363472,0.49007665834064
19,4,undersampling,normalize,0.9223107569721115,0.7467948717948718,0.844681849559261,0.49158034188603356
20,4,undersampling,none,0.8446215139442231,0.7275641025641025,0.6892649093141443,0.4696313561157333
21,4,oversampling,standarize,0.9573934837092731,0.7724358974358975,0.914832939789401,0.5388895643891501
22,4,oversampling,normalize,0.9448621553884712,0.7628205128205128,0.8904405264013499,0.5201950681113539
23,4,oversampling,none,0.8471177944862155,0.7532051282051282,0.6942704775936002,0.510048038325328
24,4,none,standarize,0.9384615384615385,0.7724358974358975,0.870879318734451,0.5393191699416132
25,4,none,normalize,0.9461538461538461,0.7788461538461539,0.886358792169627,0.5547646288403808
26,4,none,none,0.8630769230769231,0.7532051282051282,0.7082415000084585,0.49996992983279304
27,6,undersampling,standarize,0.9140625,0.7275641025641025,0.8290363073613939,0.45852303008265277
28,6,undersampling,normalize,0.90625,0.7083333333333334,0.8125,0.42567416356250265
29,6,undersampling,none,0.8255208333333334,0.6794871794871795,0.6514747840620084,0.385319827547293
30,6,oversampling,standarize,0.9475218658892128,0.7371794871794872,0.8951045999564862,0.4674329220055808
31,6,oversampling,normalize,0.9373177842565598,0.7147435897435898,0.8748177652797064,0.42915061698419626
32,6,oversampling,none,0.8600583090379009,0.7051282051282052,0.7203125665133568,0.42002332085110516
33,6,none,standarize,0.9271028037383178,0.7435897435897436,0.8415232124649433,0.4801723742235541
34,6,none,normalize,0.9327102803738317,0.7275641025641025,0.852910707115242,0.44693521075067993
35,6,none,none,0.874766355140187,0.7435897435897436,0.7251557060872017,0.48277518213406273
36,8,undersampling,standarize,0.9437869822485208,0.6730769230769231,0.889460083706025,0.36800250159333264
37,8,undersampling,normalize,0.9319526627218935,0.6634615384615384,0.8640414723917416,0.34744306775405254
38,8,undersampling,none,0.878698224852071,0.6634615384615384,0.7596472613518371,0.3455213732391881
39,8,oversampling,standarize,0.9550359712230215,0.6891025641025641,0.910077830345054,0.3869539481014237
40,8,oversampling,normalize,0.9334532374100719,0.6634615384615384,0.8669120834512174,0.34744306775405254
41,8,oversampling,none,0.8705035971223022,0.6698717948717948,0.7416985041024516,0.35484147153211676
42,8,none,standarize,0.9172259507829977,0.6762820512820513,0.8235438165490413,0.3567995891785466
43,8,none,normalize,0.9217002237136466,0.6698717948717948,0.832990070641638,0.3439151595693213
44,8,none,none,0.8791946308724832,0.6602564102564102,0.7405341809128977,0.32139219822945686
45,10,undersampling,standarize,0.9276315789473685,0.6762820512820513,0.8555594555505666,0.38694210455491107
46,10,undersampling,normalize,0.9243421052631579,0.6474358974358975,0.8488495583051037,0.3333523795467615
47,10,undersampling,none,0.875,0.6442307692307693,0.75104094428999,0.3083369215999167
48,10,oversampling,standarize,0.9576271186440678,0.6634615384615384,0.915385729888094,0.34366577572130663
49,10,oversampling,normalize,0.9300847457627118,0.6538461538461539,0.8602389979870512,0.3442049442890272
50,10,oversampling,none,0.8940677966101694,0.6826923076923077,0.788135593220339,0.39077022005658
51,10,none,standarize,0.9226804123711341,0.657051282051282,0.8384193135285438,0.33251115498543155
52,10,none,normalize,0.9149484536082474,0.6314102564102564,0.8208682984302879,0.27381820866476425
53,10,none,none,0.884020618556701,0.6602564102564102,0.7561026311220651,0.32263070381030257
